setting,target_tokens,needle_frac,head,gold_attention,needle_attention,distractor_attention,argmax_in_needle_rate,gold_rank,activation_relative_diff,activation_cosine
8k / 0.9,8192,0.9,L22H0,1.1131211067549884e-05,0.0003936278721084818,9.917796123772859e-05,0.0,819.525,0.18614511329628086,0.9817523181438446
8k / 0.9,8192,0.9,L22H4,0.006357726454734802,0.036477266997098926,0.010732769966125488,0.0,27.95,0.16733831225426185,0.9869274571537971
16k / 0.1,16384,0.1,L22H7,0.593647263199091,0.8653413504362106,0.06715734187746421,1.0,1.075,1.0417500452690265,0.439112988486886
16k / 0.1,16384,0.1,L22H10,0.3920434951782227,0.6590075999498367,0.0305057629942894,0.625,3.025,0.7574937090537255,0.6638350404798985
16k / 0.1,16384,0.1,L21H11,0.29889678955078125,0.4886742115020752,0.15359869003295898,0.2,2.425,0.21924030414937304,0.9756257310509682
16k / 0.1,16384,0.1,L20H7,0.0011868447065353394,0.006882030703127384,0.008958416432142258,0.0,67.7,0.03127511493602117,0.9995240285992623
16k / 0.1,16384,0.1,L18H3,0.0006201695650815964,0.03262468688189983,0.028739237785339357,0.0,77.9,0.05179175609320974,0.9986212372779846
16k / 0.1,16384,0.1,L17H10,0.0019295573234558105,0.13151615858078003,0.008264851570129395,0.0,87.1,0.023402003102271886,0.9997276827692986
16k / 0.1,16384,0.1,L22H0,1.8458043632563205e-05,0.00039991398953134196,5.478970124386251e-05,0.0,938.025,0.11149258343750137,0.993737080693245
16k / 0.1,16384,0.1,L22H4,0.0022060304880142214,0.024471629410982132,0.008803749084472656,0.0,44.425,0.10018751110286717,0.9952427551150322
16k / 0.5,16384,0.5,L22H7,0.6658887684345245,0.91895642131567,0.02793991668149829,1.0,1.0,1.1030684302825378,0.3722512861713767
16k / 0.5,16384,0.5,L22H10,0.3358619689941406,0.6599442675709725,0.016736194491386414,0.725,3.75,0.6898825828288395,0.7288250241428613
16k / 0.5,16384,0.5,L21H11,0.47647857666015625,0.6319375075399876,0.10543460845947265,0.6,1.45,0.25435827206602124,0.9664567336440086
16k / 0.5,16384,0.5,L20H7,0.0009173050522804261,0.006339955702424049,0.009086894243955613,0.0,64.6,0.0365672024257103,0.9993709206581116
16k / 0.5,16384,0.5,L18H3,0.008317312598228455,0.1918642371892929,0.019661039113998413,0.0,44.55,0.0538646880270647,0.9985646456480026
16k / 0.5,16384,0.5,L17H10,0.0009485572576522827,0.10663865506649017,0.00736316442489624,0.0,95.05,0.026790625099282005,0.9996548816561699
16k / 0.5,16384,0.5,L22H0,1.6137564671225846e-05,0.00035535989445634186,6.371283379849046e-05,0.0,991.575,0.14196310507206614,0.9904769644141197
16k / 0.5,16384,0.5,L22H4,0.007408134639263153,0.05373073667287827,0.008773504197597504,0.0,27.05,0.13258600417763447,0.992132642865181
16k / 0.9,16384,0.9,L22H7,0.6729246720671653,0.9307624325156212,0.013464514462975785,1.0,1.0,1.089606986270933,0.3795617535710335
16k / 0.9,16384,0.9,L22H10,0.2756988525390625,0.6499519586563111,0.019027628004550934,0.6,4.35,0.6202107889515467,0.7803571112453938
16k / 0.9,16384,0.9,L21H11,0.6583465576171875,0.7457886233925819,0.07071385383605958,0.95,1.05,0.29262646912526513,0.954241156578064
16k / 0.9,16384,0.9,L20H7,0.001271899789571762,0.007190679013729095,0.009189978986978532,0.0,47.725,0.03402735195457124,0.9994482710957527
16k / 0.9,16384,0.9,L18H3,0.006982427835464477,0.14366206601262094,0.013247078657150269,0.0,43.55,0.05174091361087685,0.9987057968974113
16k / 0.9,16384,0.9,L17H10,0.0015964627265930176,0.15428053140640258,0.005582737922668457,0.0,90.325,0.026903190231569896,0.9996494248509407
16k / 0.9,16384,0.9,L22H0,3.028597348020412e-06,0.00013756277403444983,8.042195913731121e-05,0.0,2370.3,0.1967654635681268,0.9804623305797577
16k / 0.9,16384,0.9,L22H4,0.004650142788887024,0.0223387511447072,0.012223970890045167,0.0,30.65,0.18667071737259783,0.9848096773028374
